                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2345,                 3.4658,                 1.4736,                0.52469,                0.38303,                0.42999,                0.24887,                 1.2914,                 3.5556,                 1.5234,             0.00047515,             0.00047515,             0.00047515
                      2,                 1.3006,                 2.0774,                 1.4932,                0.73513,                0.59157,                0.70185,                0.43564,                 1.3672,                 1.8039,                 1.4532,             0.00085729,             0.00085729,             0.00085729
                      3,                   1.29,                 1.6012,                 1.4741,                0.67564,                 0.6019,                0.69881,                0.45052,                 1.2861,                 1.6104,                 1.4901,              0.0011451,              0.0011451,              0.0011451
                      4,                 1.1998,                 1.3299,                 1.3894,                 0.6278,                0.70946,                0.70616,                 0.4364,                 1.3035,                 1.5124,                 1.3951,              0.0010046,              0.0010046,              0.0010046
                      5,                  1.123,                 1.1351,                 1.3312,                0.80551,                 0.8076,                0.85033,                0.57959,                  1.148,                 1.0715,                 1.2717,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.0425,                0.95657,                 1.2713,                0.84844,                0.80162,                0.86646,                 0.6315,                0.99196,                0.92216,                  1.214,             0.00072164,             0.00072164,             0.00072164
                      7,                0.96045,                0.82849,                 1.2019,                0.86542,                0.87724,                0.90593,                0.66975,                0.95655,                0.79736,                 1.1568,             0.00058017,             0.00058017,             0.00058017
                      8,                0.89282,                0.71074,                 1.1628,                0.85032,                0.89112,                0.91439,                0.69851,                 0.8792,                0.76727,                 1.1175,              0.0004387,              0.0004387,              0.0004387
                      9,                0.82248,                0.61861,                 1.1217,                0.90046,                0.88254,                0.92874,                0.71385,                0.89716,                0.67399,                 1.1209,             0.00029723,             0.00029723,             0.00029723
                     10,                0.77245,                0.55331,                  1.079,                 0.9228,                0.90544,                0.93956,                0.73695,                0.87015,                0.62156,                 1.0874,             0.00015576,             0.00015576,             0.00015576
